"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Model_1 - Copy.nlogo"
"Experiment 4"
"08/25/2024 18:20:55:121 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","initial-idea1-holders","initial-idea2-holders","number-of-individuals","average-connections-per-individual","mean-threshold1","mean-threshold2","[step]","count turtles with [ Idea_state = 0 ] / count turtles","count turtles with [ Idea_state = 1 ] / count turtles","count turtles with [ Idea_state = 2 ] / count turtles"
"11","7","7","300","8","0","0","70","0","0.38666666666666666","0.6133333333333333"
"16","7","7","300","8","0","0","70","0","0.41333333333333333","0.5866666666666667"
"9","7","7","300","8","0","0","70","0","0.51","0.49"
"15","7","7","300","8","0","0","70","0","0.45666666666666667","0.5433333333333333"
"4","7","7","300","8","0","0","70","0","0.4866666666666667","0.5133333333333333"
"18","7","7","300","8","0","0","48","0","0.65","0.35"
"17","7","7","300","8","0","0","70","0","0.44333333333333336","0.5566666666666666"
"13","7","7","300","8","0","0","70","0","0.42","0.58"
"10","7","7","300","8","0","0","66","0","0.5366666666666666","0.4633333333333333"
"5","7","7","300","8","0","0","60","0","0.53","0.47"
"19","7","7","300","8","0","0","70","0","0.55","0.45"
"14","7","7","300","8","0","0","70","0","0.53","0.47"
"3","7","7","300","8","0","0","70","0","0.4266666666666667","0.5733333333333334"
"2","7","7","300","8","0","0","70","0","0.5966666666666667","0.4033333333333333"
"7","7","7","300","8","0","0","70","0","0.5333333333333333","0.4666666666666667"
"1","7","7","300","8","0","0","70","0","0.5633333333333334","0.43666666666666665"
"21","7","7","300","8","0","0","49","0","0.5733333333333334","0.4266666666666667"
"23","7","7","300","8","0","0","70","0","0.46","0.54"
"8","7","7","300","8","0","0","70","0","0.58","0.42"
"6","7","7","300","8","0","0","70","0","0.45666666666666667","0.5433333333333333"
"27","7","7","300","8","0","0","55","0","0.4633333333333333","0.5366666666666666"
"20","7","7","300","8","0","0","70","0","0.5233333333333333","0.4766666666666667"
"22","7","7","300","8","0","0","58","0","0.37666666666666665","0.6233333333333333"
"28","7","7","300","8","0","0","62","0","0.35","0.65"
"25","7","7","300","8","0","0","70","0","0.5533333333333333","0.44666666666666666"
"12","7","7","300","8","0","0","70","0","0.6233333333333333","0.37666666666666665"
"34","7","7","300","8","0","0","60","0","0.4633333333333333","0.5366666666666666"
"31","7","7","300","8","0","0","70","0","0.4766666666666667","0.5233333333333333"
"33","7","7","300","8","0","0","55","0","0.6366666666666667","0.36333333333333334"
"26","7","7","300","8","0","0","70","0","0.46","0.54"
"29","7","7","300","8","0","0","70","0","0.5333333333333333","0.4666666666666667"
"24","7","7","300","8","0","0","70","0","0.45666666666666667","0.5433333333333333"
"32","7","7","300","8","0","0","70","0","0.5933333333333334","0.4066666666666667"
"41","7","7","300","8","0","0","48","0","0.54","0.46"
"37","7","7","300","8","0","0","40","0","0.6033333333333334","0.39666666666666667"
"43","7","7","300","8","0","0","51","0","0.5666666666666667","0.43333333333333335"
"38","7","7","300","8","0","0","70","0","0.5233333333333333","0.4766666666666667"
