[run number],initial-idea1-holders,initial-idea2-holders,number-of-individuals,average-connections-per-individual,threshold-idea1,threshold-idea2,[step],count turtles with [ Idea_state = 0 ] / count turtles,count turtles with [ Idea_state = 1 ] / count turtles,count turtles with [ Idea_state = 2 ] / count turtles
1,7,7,300,8,0,0,70,0,0.46,0.54
2,7,7,300,8,0,0,70,0,0.41,0.59
3,7,7,300,8,0,0,70,0.003333333,0.44,0.556666667
4,7,7,300,8,0,0,70,0,0.54,0.46
5,7,7,300,8,0,0,70,0,0.526666667,0.473333333
6,7,7,300,8,0,0,70,0,0.406666667,0.593333333
7,7,7,300,8,0,0,70,0,0.596666667,0.403333333
8,7,7,300,8,0,0,70,0,0.49,0.51
9,7,7,300,8,0,0,70,0,0.56,0.44
10,7,7,300,8,0,0,70,0,0.593333333,0.406666667
11,7,7,300,8,0,0,70,0,0.7,0.3
12,7,7,300,8,0,0,70,0,0.436666667,0.563333333
13,7,7,300,8,0,0,70,0,0.556666667,0.443333333
14,7,7,300,8,0,0,70,0,0.42,0.58
15,7,7,300,8,0,0,70,0,0.403333333,0.596666667
16,7,7,300,8,0,0,70,0,0.506666667,0.493333333
17,7,7,300,8,0,0,70,0,0.21,0.79
18,7,7,300,8,0,0,70,0,0.61,0.39
19,7,7,300,8,0,0,70,0,0.363333333,0.636666667
20,7,7,300,8,0,0,70,0,0.6,0.4
21,7,7,300,8,0,0,70,0,0.44,0.56
22,7,7,300,8,0,0,70,0,0.556666667,0.443333333
23,7,7,300,8,0,0,70,0,0.433333333,0.566666667
24,7,7,300,8,0,0,70,0,0.43,0.57
25,7,7,300,8,0,0,70,0,0.24,0.76
26,7,7,300,8,0,0,70,0,0.53,0.47
27,7,7,300,8,0,0,70,0,0.396666667,0.603333333
28,7,7,300,8,0,0,70,0,0.513333333,0.486666667
29,7,7,300,8,0,0,70,0,0.443333333,0.556666667
30,7,7,300,8,0,0,70,0,0.46,0.54
31,7,7,300,8,0,0,70,0,0.48,0.52
32,7,7,300,8,0,0,70,0,0.503333333,0.496666667
33,7,7,300,8,0,0,70,0,0.446666667,0.553333333
34,7,7,300,8,0,0,70,0,0.466666667,0.533333333
35,7,7,300,8,0,0,70,0,0.506666667,0.493333333
36,7,7,300,8,0,0,70,0,0.61,0.39
37,7,7,300,8,0,0,70,0,0.53,0.47
38,7,7,300,8,0,0,70,0,0.43,0.57
39,7,7,300,8,0,0,70,0,0.63,0.37
40,7,7,300,8,0,0,70,0,0.41,0.59
41,7,7,300,8,0,0,70,0,0.403333333,0.596666667
42,7,7,300,8,0,0,70,0,0.496666667,0.503333333
43,7,7,300,8,0,0,70,0,0.423333333,0.576666667
44,7,7,300,8,0,0,70,0,0.45,0.55
45,7,7,300,8,0,0,70,0,0.553333333,0.446666667
46,7,7,300,8,0,0,70,0,0.38,0.62
47,7,7,300,8,0,0,70,0,0.533333333,0.466666667
48,7,7,300,8,0,0,70,0,0.48,0.52
49,7,7,300,8,0,0,70,0,0.413333333,0.586666667
50,7,7,300,8,0,0,70,0,0.59,0.41
51,7,7,300,8,0,0,70,0,0.53,0.47
52,7,7,300,8,0,0,70,0,0.463333333,0.536666667
53,7,7,300,8,0,0,70,0,0.563333333,0.436666667
54,7,7,300,8,0,0,70,0,0.286666667,0.713333333
55,7,7,300,8,0,0,70,0,0.393333333,0.606666667
56,7,7,300,8,0,0,70,0,0.366666667,0.633333333
57,7,7,300,8,0,0,50,0,0.463333333,0.536666667
58,7,7,300,8,0,0,70,0,0.406666667,0.593333333
59,7,7,300,8,0,0,70,0,0.58,0.42
60,7,7,300,8,0,0,70,0,0.433333333,0.566666667
61,7,7,300,8,0,0,70,0,0.663333333,0.336666667
62,7,7,300,8,0,0,70,0,0.363333333,0.636666667
63,7,7,300,8,0,0,70,0,0.533333333,0.466666667
64,7,7,300,8,0,0,70,0,0.446666667,0.553333333
65,7,7,300,8,0,0,70,0,0.62,0.38
66,7,7,300,8,0,0,70,0,0.426666667,0.573333333
67,7,7,300,8,0,0,70,0,0.49,0.51
68,7,7,300,8,0,0,70,0,0.563333333,0.436666667
69,7,7,300,8,0,0,70,0,0.593333333,0.406666667
70,7,7,300,8,0,0,70,0,0.573333333,0.426666667
71,7,7,300,8,0,0,70,0,0.493333333,0.506666667
72,7,7,300,8,0,0,70,0,0.62,0.38
73,7,7,300,8,0,0,70,0,0.39,0.61
74,7,7,300,8,0,0,70,0,0.553333333,0.446666667
75,7,7,300,8,0,0,70,0,0.486666667,0.513333333
76,7,7,300,8,0,0,60,0,0.63,0.37
77,7,7,300,8,0,0,70,0,0.51,0.49
78,7,7,300,8,0,0,58,0,0.56,0.44
79,7,7,300,8,0,0,70,0,0.423333333,0.576666667
80,7,7,300,8,0,0,70,0,0.503333333,0.496666667
81,7,7,300,8,0,0,70,0,0.436666667,0.563333333
82,7,7,300,8,0,0,70,0,0.716666667,0.283333333
83,7,7,300,8,0,0,70,0,0.55,0.45
84,7,7,300,8,0,0,70,0,0.493333333,0.506666667
85,7,7,300,8,0,0,70,0,0.623333333,0.376666667
86,7,7,300,8,0,0,70,0,0.683333333,0.316666667
87,7,7,300,8,0,0,70,0,0.403333333,0.596666667
88,7,7,300,8,0,0,70,0,0.443333333,0.556666667
89,7,7,300,8,0,0,70,0,0.54,0.46
90,7,7,300,8,0,0,70,0,0.473333333,0.526666667
91,7,7,300,8,0,0,70,0,0.58,0.42
92,7,7,300,8,0,0,70,0,0.41,0.59
93,7,7,300,8,0,0,70,0,0.473333333,0.526666667
94,7,7,300,8,0,0,70,0,0.5,0.5
95,7,7,300,8,0,0,70,0,0.546666667,0.453333333
96,7,7,300,8,0,0,70,0,0.436666667,0.563333333
97,7,7,300,8,0,0,49,0,0.586666667,0.413333333
98,7,7,300,8,0,0,70,0,0.486666667,0.513333333
99,7,7,300,8,0,0,70,0,0.423333333,0.576666667
100,7,7,300,8,0,0,70,0,0.51,0.49
101,7,7,300,8,0,0.05,70,0,0.526666667,0.473333333
102,7,7,300,8,0,0.05,52,0,0.703333333,0.296666667
