"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Model_1.nlogo"
"Experiment 5.1"
"08/25/2024 18:19:30:726 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","initial-idea1-holders","initial-idea2-holders","number-of-individuals","average-connections-per-individual","threshold-idea2","threshold-idea1","[step]","count turtles with [ Idea_state = 0 ] / count turtles","count turtles with [ Idea_state = 1 ] / count turtles","count turtles with [ Idea_state = 2 ] / count turtles"
"16","7","7","300","8","0.05","0","70","0","0.6466666666666666","0.35333333333333333"
"9","7","7","300","8","0.05","0","35","0","0.69","0.31"
"13","7","7","300","8","0.05","0","69","0","0.5233333333333333","0.4766666666666667"
"4","7","7","300","8","0.05","0","70","0","0.47333333333333333","0.5266666666666666"
"11","7","7","300","8","0.05","0","70","0","0.6366666666666667","0.36333333333333334"
"10","7","7","300","8","0.05","0","70","0","0.6066666666666667","0.3933333333333333"
"8","7","7","300","8","0.05","0","57","0","0.44333333333333336","0.5566666666666666"
"3","7","7","300","8","0.05","0","35","0","0.38333333333333336","0.6166666666666667"
"12","7","7","300","8","0.05","0","58","0","0.6133333333333333","0.38666666666666666"
"6","7","7","300","8","0.05","0","43","0","0.5833333333333334","0.4166666666666667"
"18","7","7","300","8","0.05","0","38","0","0.43666666666666665","0.5633333333333334"
"20","7","7","300","8","0.05","0","42","0","0.52","0.48"
"17","7","7","300","8","0.05","0","70","0","0.5933333333333334","0.4066666666666667"
"19","7","7","300","8","0.05","0","62","0","0.5933333333333334","0.4066666666666667"
"21","7","7","300","8","0.05","0","43","0","0.4766666666666667","0.5233333333333333"
"7","7","7","300","8","0.05","0","69","0","0.6033333333333334","0.39666666666666667"
"22","7","7","300","8","0.05","0","55","0","0.4066666666666667","0.5933333333333334"
"23","7","7","300","8","0.05","0","40","0","0.5966666666666667","0.4033333333333333"
"2","7","7","300","8","0.05","0","70","0","0.4866666666666667","0.5133333333333333"
"15","7","7","300","8","0.05","0","63","0","0.4666666666666667","0.5333333333333333"
"25","7","7","300","8","0.05","0","62","0","0.68","0.32"
"1","7","7","300","8","0.05","0","70","0","0.5166666666666667","0.48333333333333334"
"14","7","7","300","8","0.05","0","70","0","0.65","0.35"
"5","7","7","300","8","0.05","0","70","0","0.5566666666666666","0.44333333333333336"
"28","7","7","300","8","0.05","0","35","0","0.5733333333333334","0.4266666666666667"
"26","7","7","300","8","0.05","0","55","0","0.42","0.58"
"24","7","7","300","8","0.05","0","60","0","0.51","0.49"
"31","7","7","300","8","0.05","0","39","0","0.75","0.25"
"29","7","7","300","8","0.05","0","70","0","0.5833333333333334","0.4166666666666667"
"33","7","7","300","8","0.05","0","70","0","0.6233333333333333","0.37666666666666665"
"30","7","7","300","8","0.05","0","68","0","0.5933333333333334","0.4066666666666667"
"27","7","7","300","8","0.05","0","47","0","0.4033333333333333","0.5966666666666667"
