[run number],initial-idea1-holders,initial-idea2-holders,number-of-individuals,average-connections-per-individual,threshold-idea1,threshold-idea2,[step],count turtles with [ Idea_state = 0 ] / count turtles,count turtles with [ Idea_state = 1 ] / count turtles,count turtles with [ Idea_state = 2 ] / count turtles
1,10,10,500,8,0.2,0.15,0,0.96,0.02,0.02
1,10,10,500,8,0.2,0.15,1,0.922,0.03,0.048
1,10,10,500,8,0.2,0.15,2,0.856,0.048,0.096
1,10,10,500,8,0.2,0.15,3,0.76,0.074,0.166
1,10,10,500,8,0.2,0.15,4,0.646,0.098,0.256
1,10,10,500,8,0.2,0.15,5,0.536,0.118,0.346
1,10,10,500,8,0.2,0.15,6,0.448,0.138,0.414
1,10,10,500,8,0.2,0.15,7,0.356,0.156,0.488
1,10,10,500,8,0.2,0.15,8,0.278,0.168,0.554
1,10,10,500,8,0.2,0.15,9,0.216,0.176,0.608
1,10,10,500,8,0.2,0.15,10,0.138,0.2,0.662
1,10,10,500,8,0.2,0.15,11,0.06,0.206,0.734
1,10,10,500,8,0.2,0.15,12,0.02,0.206,0.774
1,10,10,500,8,0.2,0.15,13,0,0.206,0.794
1,10,10,500,8,0.2,0.15,14,0,0.2,0.8
1,10,10,500,8,0.2,0.15,15,0,0.198,0.802
1,10,10,500,8,0.2,0.15,16,0,0.196,0.804
1,10,10,500,8,0.2,0.15,17,0,0.196,0.804
1,10,10,500,8,0.2,0.15,18,0,0.196,0.804
1,10,10,500,8,0.2,0.15,19,0,0.196,0.804
1,10,10,500,8,0.2,0.15,20,0,0.194,0.806
1,10,10,500,8,0.2,0.15,21,0,0.192,0.808
1,10,10,500,8,0.2,0.15,22,0,0.192,0.808
1,10,10,500,8,0.2,0.15,23,0,0.19,0.81
1,10,10,500,8,0.2,0.15,24,0,0.188,0.812
1,10,10,500,8,0.2,0.15,25,0,0.188,0.812
1,10,10,500,8,0.2,0.15,26,0,0.188,0.812
1,10,10,500,8,0.2,0.15,27,0,0.186,0.814
1,10,10,500,8,0.2,0.15,28,0,0.186,0.814
1,10,10,500,8,0.2,0.15,29,0,0.184,0.816
1,10,10,500,8,0.2,0.15,30,0,0.184,0.816
1,10,10,500,8,0.2,0.15,31,0,0.184,0.816
1,10,10,500,8,0.2,0.15,32,0,0.182,0.818
1,10,10,500,8,0.2,0.15,33,0,0.18,0.82
1,10,10,500,8,0.2,0.15,34,0,0.18,0.82
1,10,10,500,8,0.2,0.15,35,0,0.18,0.82
1,10,10,500,8,0.2,0.15,36,0,0.178,0.822
1,10,10,500,8,0.2,0.15,37,0,0.178,0.822
1,10,10,500,8,0.2,0.15,38,0,0.178,0.822
1,10,10,500,8,0.2,0.15,39,0,0.178,0.822
1,10,10,500,8,0.2,0.15,40,0,0.178,0.822
1,10,10,500,8,0.2,0.15,41,0,0.178,0.822
1,10,10,500,8,0.2,0.15,42,0,0.178,0.822
1,10,10,500,8,0.2,0.15,43,0,0.178,0.822
1,10,10,500,8,0.2,0.15,44,0,0.178,0.822
1,10,10,500,8,0.2,0.15,45,0,0.178,0.822
1,10,10,500,8,0.2,0.15,46,0,0.178,0.822
1,10,10,500,8,0.2,0.15,47,0,0.178,0.822
1,10,10,500,8,0.2,0.15,48,0,0.178,0.822
1,10,10,500,8,0.2,0.15,49,0,0.176,0.824
1,10,10,500,8,0.2,0.15,50,0,0.176,0.824
1,10,10,500,8,0.2,0.15,51,0,0.176,0.824
1,10,10,500,8,0.2,0.15,52,0,0.176,0.824
1,10,10,500,8,0.2,0.15,53,0,0.174,0.826
1,10,10,500,8,0.2,0.15,54,0,0.174,0.826
1,10,10,500,8,0.2,0.15,55,0,0.174,0.826
1,10,10,500,8,0.2,0.15,56,0,0.174,0.826
1,10,10,500,8,0.2,0.15,57,0,0.174,0.826
1,10,10,500,8,0.2,0.15,58,0,0.174,0.826
1,10,10,500,8,0.2,0.15,59,0,0.174,0.826
1,10,10,500,8,0.2,0.15,60,0,0.174,0.826
2,10,10,500,8,0.2,0.15,0,0.96,0.02,0.02
2,10,10,500,8,0.2,0.15,1,0.908,0.034,0.058
2,10,10,500,8,0.2,0.15,2,0.81,0.064,0.126
2,10,10,500,8,0.2,0.15,3,0.656,0.102,0.242
2,10,10,500,8,0.2,0.15,4,0.474,0.134,0.392
2,10,10,500,8,0.2,0.15,5,0.328,0.164,0.508
2,10,10,500,8,0.2,0.15,6,0.21,0.194,0.596
2,10,10,500,8,0.2,0.15,7,0.128,0.206,0.666
2,10,10,500,8,0.2,0.15,8,0.07,0.218,0.712
2,10,10,500,8,0.2,0.15,9,0.028,0.222,0.75
2,10,10,500,8,0.2,0.15,10,0,0.218,0.782
2,10,10,500,8,0.2,0.15,11,0,0.216,0.784
2,10,10,500,8,0.2,0.15,12,0,0.216,0.784
2,10,10,500,8,0.2,0.15,13,0,0.216,0.784
2,10,10,500,8,0.2,0.15,14,0,0.216,0.784
2,10,10,500,8,0.2,0.15,15,0,0.216,0.784
2,10,10,500,8,0.2,0.15,16,0,0.216,0.784
2,10,10,500,8,0.2,0.15,17,0,0.216,0.784
2,10,10,500,8,0.2,0.15,18,0,0.214,0.786
2,10,10,500,8,0.2,0.15,19,0,0.212,0.788
2,10,10,500,8,0.2,0.15,20,0,0.21,0.79
2,10,10,500,8,0.2,0.15,21,0,0.208,0.792
2,10,10,500,8,0.2,0.15,22,0,0.208,0.792
2,10,10,500,8,0.2,0.15,23,0,0.208,0.792
2,10,10,500,8,0.2,0.15,24,0,0.21,0.79
2,10,10,500,8,0.2,0.15,25,0,0.21,0.79
2,10,10,500,8,0.2,0.15,26,0,0.208,0.792
2,10,10,500,8,0.2,0.15,27,0,0.208,0.792
2,10,10,500,8,0.2,0.15,28,0,0.208,0.792
2,10,10,500,8,0.2,0.15,29,0,0.206,0.794
2,10,10,500,8,0.2,0.15,30,0,0.206,0.794
2,10,10,500,8,0.2,0.15,31,0,0.204,0.796
2,10,10,500,8,0.2,0.15,32,0,0.204,0.796
2,10,10,500,8,0.2,0.15,33,0,0.204,0.796
2,10,10,500,8,0.2,0.15,34,0,0.204,0.796
2,10,10,500,8,0.2,0.15,35,0,0.204,0.796
2,10,10,500,8,0.2,0.15,36,0,0.204,0.796
2,10,10,500,8,0.2,0.15,37,0,0.204,0.796
2,10,10,500,8,0.2,0.15,38,0,0.202,0.798
2,10,10,500,8,0.2,0.15,39,0,0.202,0.798
2,10,10,500,8,0.2,0.15,40,0,0.202,0.798
2,10,10,500,8,0.2,0.15,41,0,0.202,0.798
2,10,10,500,8,0.2,0.15,42,0,0.202,0.798
2,10,10,500,8,0.2,0.15,43,0,0.202,0.798
2,10,10,500,8,0.2,0.15,44,0,0.202,0.798
2,10,10,500,8,0.2,0.15,45,0,0.202,0.798
2,10,10,500,8,0.2,0.15,46,0,0.202,0.798
2,10,10,500,8,0.2,0.15,47,0,0.202,0.798
2,10,10,500,8,0.2,0.15,48,0,0.202,0.798
2,10,10,500,8,0.2,0.15,49,0,0.202,0.798
2,10,10,500,8,0.2,0.15,50,0,0.202,0.798
2,10,10,500,8,0.2,0.15,51,0,0.202,0.798
2,10,10,500,8,0.2,0.15,52,0,0.202,0.798
2,10,10,500,8,0.2,0.15,53,0,0.202,0.798
2,10,10,500,8,0.2,0.15,54,0,0.2,0.8
2,10,10,500,8,0.2,0.15,55,0,0.2,0.8
2,10,10,500,8,0.2,0.15,56,0,0.2,0.8
2,10,10,500,8,0.2,0.15,57,0,0.2,0.8
2,10,10,500,8,0.2,0.15,58,0,0.2,0.8
2,10,10,500,8,0.2,0.15,59,0,0.2,0.8
2,10,10,500,8,0.2,0.15,60,0,0.2,0.8
3,10,10,500,8,0.2,0.15,0,0.96,0.02,0.02
3,10,10,500,8,0.2,0.15,1,0.914,0.024,0.062
3,10,10,500,8,0.2,0.15,2,0.83,0.024,0.146
3,10,10,500,8,0.2,0.15,3,0.722,0.024,0.254
3,10,10,500,8,0.2,0.15,4,0.572,0.024,0.404
3,10,10,500,8,0.2,0.15,5,0.4,0.024,0.576
3,10,10,500,8,0.2,0.15,6,0.268,0.024,0.708
3,10,10,500,8,0.2,0.15,7,0.182,0.022,0.796
3,10,10,500,8,0.2,0.15,8,0.126,0.02,0.854
3,10,10,500,8,0.2,0.15,9,0.07,0.016,0.914
3,10,10,500,8,0.2,0.15,10,0.038,0.016,0.946
3,10,10,500,8,0.2,0.15,11,0.022,0.016,0.962
3,10,10,500,8,0.2,0.15,12,0.006,0.016,0.978
3,10,10,500,8,0.2,0.15,13,0,0.012,0.988
3,10,10,500,8,0.2,0.15,14,0,0.01,0.99
3,10,10,500,8,0.2,0.15,15,0,0.008,0.992
3,10,10,500,8,0.2,0.15,16,0,0.008,0.992
3,10,10,500,8,0.2,0.15,17,0,0.008,0.992
3,10,10,500,8,0.2,0.15,18,0,0.008,0.992
