threshold-idea1,threshold-idea2,[run number],initial-idea1-holders,initial-idea2-holders,number-of-individuals,average-connections-per-individual,[step],count turtles with [ Idea_state = 0 ] / count turtles,count turtles with [ Idea_state = 1 ] / count turtles,count turtles with [ Idea_state = 2 ] / count turtles
0.0,0.0,50.5,14.0,14.0,300.0,8.0,69.39,0.0,0.51596666668,0.48403333332000004
0.0,0.05,150.5,14.0,14.0,300.0,8.0,60.05,3.333333e-05,0.61526666664,0.38470000003000004
0.0,0.1,250.5,14.0,14.0,300.0,8.0,60.98,0.0,0.69983333336,0.30016666663999997
0.0,0.15,350.5,14.0,14.0,300.0,8.0,60.53,0.0,0.90383333339,0.09616666661
0.0,0.2,450.5,14.0,14.0,300.0,8.0,53.88,6.666666e-05,0.97283333332,0.02710000002
0.0,0.25,550.5,14.0,14.0,300.0,8.0,46.87,3.333333e-05,0.9906333333499999,0.00933333332
0.0,0.3,650.5,14.0,14.0,300.0,8.0,40.37,3.333333e-05,0.9972333333400001,0.00273333333
0.0,0.35,750.5,14.0,14.0,300.0,8.0,38.74,0.0,0.99996666667,3.333333e-05
0.0,0.4,850.5,14.0,14.0,300.0,8.0,36.54,0.0,0.99996666667,3.333333e-05
0.0,0.45,950.5,14.0,14.0,300.0,8.0,38.21,0.0,1.0,0.0
0.0,0.5,1050.5,14.0,14.0,300.0,8.0,36.53,9.999998999999999e-05,0.99986666668,3.333333e-05
0.0,0.55,1150.5,14.0,14.0,300.0,8.0,35.54,6.666666e-05,0.99990000001,3.333333e-05
0.0,0.6,1250.5,14.0,14.0,300.0,8.0,35.74,0.0,0.99996666667,3.333333e-05
0.0,0.65,1350.5,14.0,14.0,300.0,8.0,37.82,6.666666e-05,0.99986666668,6.666666e-05
0.0,0.7,1450.5,14.0,14.0,300.0,8.0,36.74,6.666667000000001e-05,0.99993333333,0.0
0.0,0.75,1550.5,14.0,14.0,300.0,8.0,37.32,0.0,0.99993333334,6.666666e-05
0.0,0.8,1650.5,14.0,14.0,300.0,8.0,35.4,0.00023333333000000002,0.99970000001,6.666666e-05
0.0,0.85,1750.5,14.0,14.0,300.0,8.0,36.76,6.666666e-05,0.99993333334,0.0
0.0,0.9,1850.5,14.0,14.0,300.0,8.0,36.16,3.333333e-05,0.99993333334,3.333333e-05
0.0,0.95,1950.5,14.0,14.0,300.0,8.0,35.34,6.666666e-05,0.99993333334,0.0
0.0,1.0,2050.5,14.0,14.0,300.0,8.0,34.86,0.0,0.99996666667,3.333333e-05
0.05,0.0,2150.5,14.0,14.0,300.0,8.0,60.39,6.666666e-05,0.38336666663999996,0.6165666667
0.05,0.05,2250.5,14.0,14.0,300.0,8.0,69.85,0.0,0.49566666668,0.50433333332
0.05,0.1,2350.5,14.0,14.0,300.0,8.0,60.81,0.0,0.67606666667,0.32393333333
0.05,0.15,2450.5,14.0,14.0,300.0,8.0,59.48,3.333333e-05,0.84919999998,0.15076666668
0.05,0.2,2550.5,14.0,14.0,300.0,8.0,53.17,3.333333e-05,0.9558,0.04416666667
0.05,0.25,2650.5,14.0,14.0,300.0,8.0,45.96,0.0,0.9906666666799999,0.00933333332
0.05,0.3,2750.5,14.0,14.0,300.0,8.0,42.02,6.666666e-05,0.99713333335,0.00279999999
0.05,0.35,2850.5,14.0,14.0,300.0,8.0,38.15,0.0,0.99896666667,0.00103333333
0.05,0.4,2950.5,14.0,14.0,300.0,8.0,42.07,0.0,0.99996666667,3.333333e-05
0.05,0.45,3050.5,14.0,14.0,300.0,8.0,38.46,3.333333e-05,0.99996666667,0.0
0.05,0.5,3150.5,14.0,14.0,300.0,8.0,36.42,3.333333e-05,0.99993333334,3.333333e-05
0.05,0.55,3250.5,14.0,14.0,300.0,8.0,36.83,0.0,0.99996666667,3.333333e-05
0.05,0.6,3350.5,14.0,14.0,300.0,8.0,37.77,6.666666e-05,0.99990000001,3.333333e-05
0.05,0.65,3450.5,14.0,14.0,300.0,8.0,37.46,0.0,0.99993333334,6.666666e-05
0.05,0.7,3550.5,14.0,14.0,300.0,8.0,37.23,0.0,0.99996666667,3.333333e-05
0.05,0.75,3650.5,14.0,14.0,300.0,8.0,36.94,0.0,1.0,0.0
0.05,0.8,3750.5,14.0,14.0,300.0,8.0,37.32,3.333333e-05,0.99986666668,9.999998999999999e-05
0.05,0.85,3850.5,14.0,14.0,300.0,8.0,34.7,0.0,1.0,0.0
0.05,0.9,3950.5,14.0,14.0,300.0,8.0,37.29,0.0,1.0,0.0
0.05,0.95,4050.5,14.0,14.0,300.0,8.0,38.48,0.00026666667,0.9997,3.333333e-05
0.05,1.0,4150.5,14.0,14.0,300.0,8.0,37.28,3.333333e-05,0.99996666667,0.0
0.1,0.0,4250.5,14.0,14.0,300.0,8.0,63.39,0.0,0.29666666665,0.70333333335
0.1,0.05,4350.5,14.0,14.0,300.0,8.0,61.95,0.0,0.3384333333,0.6615666667000001
0.1,0.1,4450.5,14.0,14.0,300.0,8.0,69.43,0.0,0.48543333335,0.51456666665
0.1,0.15,4550.5,14.0,14.0,300.0,8.0,59.41,0.0008,0.7742666666700001,0.22493333333999999
0.1,0.2,4650.5,14.0,14.0,300.0,8.0,57.51,0.0,0.89520000005,0.10479999995
0.1,0.25,4750.5,14.0,14.0,300.0,8.0,48.84,0.00026666667,0.97466666667,0.02506666666
0.1,0.3,4850.5,14.0,14.0,300.0,8.0,44.81,0.00046666667,0.99100000002,0.00853333331
0.1,0.35,4950.5,14.0,14.0,300.0,8.0,38.11,0.0005333333300000001,0.99816666667,0.0013
0.1,0.4,5050.5,14.0,14.0,300.0,8.0,36.93,0.0,0.99996666667,3.333333e-05
