mean-threshold1,mean-threshold2,[run number],initial-idea1-holders,initial-idea2-holders,number-of-individuals,average-connections-per-individual,[step],count turtles with [ Idea_state = 0 ] / count turtles,count turtles with [ Idea_state = 1 ] / count turtles,count turtles with [ Idea_state = 2 ] / count turtles
0.0,0.0,50.5,5.0,5.0,300.0,8.0,72.47,0.0,0.49026666665,0.50973333335
0.0,0.05,150.5,5.0,5.0,300.0,8.0,78.36,0.0,0.56563333332,0.43436666668
0.0,0.1,250.5,5.0,5.0,300.0,8.0,80.5,3.333333e-05,0.61643333327,0.3835333334
0.0,0.15,350.5,5.0,5.0,300.0,8.0,87.02,0.0011,0.75606666666,0.24283333334
0.0,0.2,450.5,5.0,5.0,300.0,8.0,71.16,0.0,0.9251,0.07490000000000001
0.0,0.25,550.5,5.0,5.0,300.0,8.0,60.41,3.333333e-05,0.98349999999,0.01646666668
0.0,0.3,650.5,5.0,5.0,300.0,8.0,48.59,3.333333e-05,0.99886666667,0.0011
0.0,0.35,750.5,5.0,5.0,300.0,8.0,44.05,0.0,0.99973333333,0.00026666667
0.0,0.4,850.5,5.0,5.0,300.0,8.0,41.74,6.666666e-05,0.99993333334,0.0
0.0,0.45,950.5,5.0,5.0,300.0,8.0,42.99,0.0,1.0,0.0
0.0,0.5,1050.5,5.0,5.0,300.0,8.0,42.64,0.0,1.0,0.0
0.0,0.55,1150.5,5.0,5.0,300.0,8.0,43.0,0.00013333333,0.9998666666699999,0.0
0.0,0.6,1250.5,5.0,5.0,300.0,8.0,43.18,0.0,1.0,0.0
0.0,0.65,1350.5,5.0,5.0,300.0,8.0,42.43,0.0,1.0,0.0
0.0,0.7,1450.5,5.0,5.0,300.0,8.0,43.33,0.0,1.0,0.0
0.0,0.75,1550.5,5.0,5.0,300.0,8.0,43.64,3.333333e-05,0.99996666667,0.0
0.0,0.8,1650.5,5.0,5.0,300.0,8.0,44.87,0.0,1.0,0.0
0.0,0.85,1750.5,5.0,5.0,300.0,8.0,42.93,0.0,1.0,0.0
0.0,0.9,1850.5,5.0,5.0,300.0,8.0,44.49,3.333333e-05,0.99996666667,0.0
0.0,0.95,1950.5,5.0,5.0,300.0,8.0,43.35,0.0015666666700000001,0.9984333333300001,0.0
0.0,1.0,2050.5,5.0,5.0,300.0,8.0,43.72,0.0,1.0,0.0
0.05,0.0,2150.5,5.0,5.0,300.0,8.0,71.84,0.0,0.47083333332000005,0.52916666668
0.05,0.05,2250.5,5.0,5.0,300.0,8.0,78.08,0.0,0.49233333328999995,0.50766666671
0.05,0.1,2350.5,5.0,5.0,300.0,8.0,73.89,0.0007333333300000001,0.58726666665,0.41200000002000003
0.05,0.15,2450.5,5.0,5.0,300.0,8.0,71.72,3.333333e-05,0.73153333336,0.26843333331
0.05,0.2,2550.5,5.0,5.0,300.0,8.0,82.26,0.0007333333300000001,0.91700000001,0.08226666665
0.05,0.25,2650.5,5.0,5.0,300.0,8.0,55.67,0.0005666666599999999,0.98800000001,0.01143333332
0.05,0.3,2750.5,5.0,5.0,300.0,8.0,49.75,0.00039999999,0.9954666666699999,0.00413333333
0.05,0.35,2850.5,5.0,5.0,300.0,8.0,45.42,0.0,1.0,0.0
0.05,0.4,2950.5,5.0,5.0,300.0,8.0,43.16,3.333333e-05,0.99996666667,0.0
0.05,0.45,3050.5,5.0,5.0,300.0,8.0,43.84,0.0,1.0,0.0
0.05,0.5,3150.5,5.0,5.0,300.0,8.0,44.03,0.0,1.0,0.0
0.05,0.55,3250.5,5.0,5.0,300.0,8.0,44.15,0.0,1.0,0.0
0.05,0.6,3350.5,5.0,5.0,300.0,8.0,42.98,3.333333e-05,0.99996666667,0.0
0.05,0.65,3450.5,5.0,5.0,300.0,8.0,44.8,0.0,1.0,0.0
0.05,0.7,3550.5,5.0,5.0,300.0,8.0,44.58,0.0,1.0,0.0
0.05,0.75,3650.5,5.0,5.0,300.0,8.0,42.77,3.333333e-05,0.99996666667,0.0
0.05,0.8,3750.5,5.0,5.0,300.0,8.0,41.71,0.0,1.0,0.0
0.05,0.85,3850.5,5.0,5.0,300.0,8.0,45.15,0.0,1.0,0.0
0.05,0.9,3950.5,5.0,5.0,300.0,8.0,43.98,0.0,1.0,0.0
0.05,0.95,4050.5,5.0,5.0,300.0,8.0,42.57,0.0,1.0,0.0
0.05,1.0,4150.5,5.0,5.0,300.0,8.0,41.99,0.0,1.0,0.0
0.1,0.0,4250.5,5.0,5.0,300.0,8.0,81.45,3.333333e-05,0.37063333338,0.62933333329
0.1,0.05,4350.5,5.0,5.0,300.0,8.0,72.59,0.0,0.40866666662999995,0.59133333337
0.1,0.1,4450.5,5.0,5.0,300.0,8.0,76.48,0.00036666666,0.5027666666399999,0.49686666668999996
0.1,0.15,4550.5,5.0,5.0,300.0,8.0,76.29,0.00043333333000000003,0.6421333333699999,0.35743333331000005
0.1,0.2,4650.5,5.0,5.0,300.0,8.0,71.02,0.00046666667,0.8563000000300001,0.14323333331000002
0.1,0.25,4750.5,5.0,5.0,300.0,8.0,61.38,0.0001,0.97820000001,0.02169999999
0.1,0.3,4850.5,5.0,5.0,300.0,8.0,48.37,0.0,0.99580000001,0.00419999999
0.1,0.35,4950.5,5.0,5.0,300.0,8.0,44.89,3.333333e-05,0.9984000000100001,0.0015666666600000002
0.1,0.4,5050.5,5.0,5.0,300.0,8.0,46.03,0.0,0.99973333333,0.00026666667
