threshold-idea2,threshold-idea1,[run number],initial-idea1-holders,initial-idea2-holders,number-of-individuals,average-connections-per-individual,[step],count turtles with [ Idea_state = 0 ] / count turtles,count turtles with [ Idea_state = 1 ] / count turtles,count turtles with [ Idea_state = 2 ] / count turtles
0.05,0.0,50.5,5.0,5.0,300.0,8.0,78.64,3.333333e-05,0.56746666665,0.43250000000999994
0.05,0.05,150.5,5.0,5.0,300.0,8.0,72.07,3.333333e-05,0.43453333331000005,0.56543333335
0.05,0.1,250.5,5.0,5.0,300.0,8.0,78.76,3.333333e-05,0.36943333329,0.63053333337
0.05,0.15,350.5,5.0,5.0,300.0,8.0,76.51,3.333333e-05,0.17210000003,0.82786666664
0.05,0.2,450.5,5.0,5.0,300.0,8.0,57.85,0.0,0.015866666680000002,0.98413333332
0.05,0.25,550.5,5.0,5.0,300.0,8.0,49.56,3.333333e-05,0.00493333333,0.99503333334
0.05,0.3,650.5,5.0,5.0,300.0,8.0,45.33,6.666666e-05,0.0003,0.9996333333399999
0.05,0.35,750.5,5.0,5.0,300.0,8.0,44.68,3.333333e-05,0.0,0.99996666667
0.05,0.4,850.5,5.0,5.0,300.0,8.0,45.91,3.333333e-05,0.0,0.99996666667
0.05,0.45,950.5,5.0,5.0,300.0,8.0,41.62,3.333333e-05,0.0,0.99996666667
0.05,0.5,1050.5,5.0,5.0,300.0,8.0,44.5,0.0,0.0,1.0
0.05,0.55,1150.5,5.0,5.0,300.0,8.0,44.49,0.0,0.0,1.0
0.05,0.6,1250.5,5.0,5.0,300.0,8.0,45.2,3.333333e-05,0.0,0.99996666667
0.05,0.65,1350.5,5.0,5.0,300.0,8.0,44.32,0.0,0.0,1.0
0.05,0.7,1450.5,5.0,5.0,300.0,8.0,44.48,0.0,0.0,1.0
0.05,0.75,1550.5,5.0,5.0,300.0,8.0,42.62,0.0,0.0,1.0
0.05,0.8,1650.5,5.0,5.0,300.0,8.0,42.57,9.999998999999999e-05,0.0,0.99990000001
0.05,0.85,1750.5,5.0,5.0,300.0,8.0,43.44,0.0,0.0,1.0
0.05,0.9,1850.5,5.0,5.0,300.0,8.0,45.4,6.666666e-05,0.0,0.99993333334
0.05,0.95,1950.5,5.0,5.0,300.0,8.0,44.75,0.0,0.0,1.0
0.05,1.0,2050.5,5.0,5.0,300.0,8.0,42.08,6.666666e-05,0.0,0.99993333334
0.1,0.0,2150.5,5.0,5.0,300.0,8.0,82.0,0.00026666666,0.62069999999,0.37903333335
0.1,0.05,2250.5,5.0,5.0,300.0,8.0,80.34,3.333333e-05,0.62506666665,0.37490000002
0.1,0.1,2350.5,5.0,5.0,300.0,8.0,73.34,0.0,0.42439999998,0.57560000002
0.1,0.15,2450.5,5.0,5.0,300.0,8.0,75.74,3.333333e-05,0.23733333329,0.76263333337
0.1,0.2,2550.5,5.0,5.0,300.0,8.0,57.51,0.00046666667,0.04999999999,0.9495333333399999
0.1,0.25,2650.5,5.0,5.0,300.0,8.0,52.96,0.0,0.0058,0.9942
0.1,0.3,2750.5,5.0,5.0,300.0,8.0,48.53,0.00046666667,0.0021,0.99743333333
0.1,0.35,2850.5,5.0,5.0,300.0,8.0,43.83,0.0,0.00016666667,0.99983333333
0.1,0.4,2950.5,5.0,5.0,300.0,8.0,48.71,0.0,0.0,1.0
0.1,0.45,3050.5,5.0,5.0,300.0,8.0,46.9,3.333333e-05,0.0,0.99996666667
0.1,0.5,3150.5,5.0,5.0,300.0,8.0,45.06,0.0,0.0,1.0
0.1,0.55,3250.5,5.0,5.0,300.0,8.0,44.78,0.0001,0.0,0.9998999999999999
0.1,0.6,3350.5,5.0,5.0,300.0,8.0,45.31,3.333333e-05,0.0,0.99996666667
0.1,0.65,3450.5,5.0,5.0,300.0,8.0,44.99,0.00066666666,0.0,0.99933333334
0.1,0.7,3550.5,5.0,5.0,300.0,8.0,42.72,0.0,0.0,1.0
0.1,0.75,3650.5,5.0,5.0,300.0,8.0,45.24,0.0,0.0,1.0
0.1,0.8,3750.5,5.0,5.0,300.0,8.0,45.19,0.0,0.0,1.0
